Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2014-04-22 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-23 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-23 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-24 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-04-24 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-25 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-25 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-04-26 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-04-26 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-27 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
