Dato ;Region ;Kommune ;Dødsfall ;Alvorsgrad ;Involverte ;Aktivitet ;Faregrad ;Skredproblem 1 ;Skredtype 1 ;Svaktlag 1 ;Skredproblem 2 ;Skredtype 2 ;Svaktlag 2 ;Skredproblem 3 ;Skredtype 3 ;Svaktlag 3 ;Kommentar ;regObs
2018-04-08 ;Jotunheimen ;Vang ;0 ;Påvirket ingenting ;1 ;Ski offpist ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte flakskred ;Våte flakskred ;Opphopning av vann i/over lag i snødekket ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;157378
2018-04-07 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skikjørere fjernutløste skred. Ingen tatt. Ingen skadet. ;157022
2018-04-07 ;Sunnmøre ;Ørsta ;0 ; ;1 ;Ski ;3 ;Våte flakskred ;Våte flakskred ;Opphopning av vann i/over lag i snødekket ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;157003
2018-04-07 ;Trollheimen ;Oppdal ;0 ; ;1 ;Snøbrett ;3 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte flakskred ;Våte flakskred ;Opphopning av vann i/over lag i snødekket ;Brettkjører utløset skred over seg. Ble ført med og stoppet i tre. Kom seg ut ved egen hjelp uskadet. ;157053
2018-04-06 ;Romsdal ;Rauma ;0 ; ;2 ;Ski ;3 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skikjørere fjernutløste skred. Ingen tatt. Ingen skadet. ;156863
2018-04-06 ;Voss ;Vik ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;157049
2018-04-06 ;Vest-Telemark ;Tinn ;0 ;Personer skadet ;8 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ; ; ; ;Gruppe utløste skred. En tatt og lettere skadet i arm. ;156805
2018-04-06 ;Sunnmøre ;Ørsta ;0 ;Påvirket ingenting ;3 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløpere fjernutløste to skred. Ingen tatt. Ingen skadet. ;156829
2018-04-06 ;Indre Sogn ;Sogndal ;0 ;Nestenulykke ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst skred. Ingen tatt.Ingen skadet. ;156851
2018-04-06 ;Indre Sogn ;Sogndal ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;156777
