Comment;TripRegistrationTime;TripID;GeoHazardTID;ObserverID;IsFinished;TripTypeName;DeviceID;ObsLocationID;ObservationExpectedTime;TripTypeTID;TripFinishedTime
Liten tur i uvaeret.;2015-12-05 10:33:36;643;10;33;True;Ordinaer ihht. obsavtale;9f8e8a83-7c0b-4718-dc92-b018c39bb68c;28800;2015-12-05 13:00:00;20;2015-12-05 12:24:59
Leirbotn: Ferske fokksnoeflak? Mildvaer i gaar hoeyde. Kantkorn i indre del av regionen.;2015-12-05 10:46:46;644;10;270;True;Ordinaer ihht. obsavtale;44bde79d-e9b1-409a-df0e-737c07250dac;28802;2015-12-05 16:00:00;20;2015-12-05 14:48:31
Sjufjellet normalvn;2015-12-05 11:08:01;645;10;60;True;Ordinaer ihht. obsavtale;9e3bb753-8080-461c-3543-65fab50b9980;28804;2015-12-05 15:00:00;20;2015-12-05 23:00:01
Fagerfjell;2015-12-05 11:14:10;646;10;19;True;Ansatt;fba58b2b-eda0-41e0-948e-a80c94104d09;28806;2015-12-05 15:00:00;50;2015-12-05 14:26:01
;2015-12-05 12:02:28;647;10;325;True;Ordinaer ihht. obsavtale;6fd7681e-e8ea-40b7-12d3-bf1c95e50019;28811;2015-12-05 19:00:00;20;2015-12-05 14:51:30
Skorgedalen.;2015-12-06 11:12:45;648;10;201;True;Ordinaer ihht. obsavtale;e13b03dc-77bf-4864-8b83-af7b86847ae9;28853;2015-12-06 14:00:00;20;2015-12-06 13:42:26
Boeverkinnhalsen;2015-12-06 11:24:56;649;10;25;True;Ordinaer ihht. obsavtale;eb8c17fd-1d1f-471b-2b1a-34fa8c48adb5;28855;2015-12-06 14:00:00;20;2015-12-06 13:23:29
Tverrfjellet paa kattfjordeidet;2015-12-06 11:45:16;650;10;16;True;Ordinaer ihht. obsavtale;dc1b1496-2085-4722-1a19-e563836e9b87;28860;2015-12-06 17:00:00;20;2015-12-06 16:32:42
Litletind;2015-12-06 11:56:29;651;10;775;True;Ordinaer ihht. obsavtale;67491a0c-d788-49f7-2a72-3662f2cb7297;28861;2015-12-06 17:00:00;20;2015-12-06 23:00:00
Kvamsfjellet ved Joelster Skisenter.;2015-12-06 14:11:45;652;10;544;True;Ordinaer ihht. obsavtale;fa6da016-1259-4644-126a-0123141b05ea;28873;2015-12-06 17:00:00;20;2015-12-06 16:12:13
Utvikfjellet;2015-12-06 14:44:43;653;10;1076;True;Ordinaer ihht. obsavtale;df7959c0-4dfb-43c8-1b2e-526cf9e241c8;28880;2015-12-06 17:00:00;20;2015-12-06 18:01:48
Mye vaer fra vest i dag. Kjoerer vestover for aa se hva som har skjedd i grensetraktene mot Sogn.;2015-12-07 09:47:06;654;10;35;True;Ordinaer ihht. obsavtale;84ecdab8-6fa1-4395-5f62-d7e3efc7ace6;28905;2015-12-07 14:00:00;20;2015-12-07 22:30:49
Skal se etter nysnoegrense, og fokksnoe. Det regner i lavlandet.;2015-12-07 10:40:04;655;10;280;True;Ordinaer ihht. obsavtale;014f55b0-cd17-4d2a-3963-29021f9a634a;28908;2015-12-07 14:00:00;20;2015-12-07 13:20:48
;2015-12-07 10:42:26;656;10;282;True;Ordinaer ihht. obsavtale;15a71d22-d691-4e05-c3d5-a13ce5a8ca8b;28909;2015-12-07 16:00:00;20;2015-12-07 23:00:01
;2015-12-07 13:30:31;657;10;40;True;Ordinaer ihht. obsavtale;7f2c1411-57f2-45a8-b93f-399f5da9b1cc;28921;2015-12-07 16:00:00;20;2015-12-07 23:00:01
Tur til Smaatinden. Se hvor mye nysnoe som er kommet og hvor hoeyt mildvaeret har naadd;2015-12-08 09:49:13;658;10;788;True;Ordinaer ihht. obsavtale;0d4e635c-5b05-4150-89a4-94cce739e03f;28965;2015-12-08 14:00:00;20;2015-12-08 13:21:23
;2015-12-08 09:55:34;659;10;801;True;Ordinaer ihht. obsavtale;b03f8c26-26e6-4923-6c03-37d29dc589ca;28966;2015-12-08 14:00:00;20;2015-12-08 13:29:54
Mortenhalsskolten, Malangen.;2015-12-08 10:21:15;660;10;741;True;Ansatt;7066ce8b-a03f-4b4e-ae1b-bc9c2448396f;28971;2015-12-08 15:00:00;50;2015-12-08 14:06:53
;2015-12-08 10:23:12;661;10;126;True;Ansatt;9c349ca3-0b03-4b86-0923-b1c4fcbbeb41;28972;2015-12-08 14:00:00;50;2015-12-08 23:00:01
Boemark. Skal sjekke stabilitet i fokksnoe mot NOE og SOE.;2015-12-08 11:24:39;662;10;112;True;Ordinaer ihht. obsavtale;728ef3db-f9fd-4925-e627-e188a902c575;28977;2015-12-08 15:00:00;20;2015-12-08 14:30:13
Torskmannen. Siden det ikke virket tidligere saa melder jeg inn i etterkant...;2015-12-08 16:43:20;663;10;594;True;Ordinaer ihht. obsavtale;24b53304-ef93-47bc-defd-5c8ccd45dd37;29005;2015-12-08 14:00:00;20;2015-12-08 16:43:28
Obstur Steinskardtind. Forventer aa komme opp til ca 650moh. Se hva som har skjedd oppover i alt vaeret.;2015-12-08 19:09:17;664;10;203;True;Ordinaer ihht. obsavtale;2bfc0e48-df0a-4963-5fda-f500605e5fcb;29015;2015-12-08 23:00:00;20;2015-12-08 23:00:01
;2015-12-09 10:12:39;665;10;282;True;Ordinaer ihht. obsavtale;ce8eab0b-b98d-477a-7384-dba2cb63b2f6;29032;2015-12-09 15:00:00;20;2015-12-09 14:31:25
Storhaugen sjekk av nysnoemengde og utbredelse av svake lag;2015-12-09 10:12:53;666;10;767;True;Ordinaer ihht. obsavtale;b24f33de-e0ca-454d-fba4-6245cd386ba5;29033;2015-12-09 15:00:00;20;2015-12-09 13:48:18
Raulandsfjell;2015-12-09 10:13:30;667;10;260;True;Ordinaer ihht. obsavtale;d9966ac3-f798-4f50-f163-6207c180f22b;29035;2015-12-09 17:00:00;20;2015-12-09 16:38:38
;2015-12-09 11:51:42;668;10;40;True;Ordinaer ihht. obsavtale;fc6b1c0a-2d78-47a6-25a3-e86069341ad6;29046;2015-12-09 15:00:00;20;2015-12-09 23:00:00
Kurstur .Ser etter snoefokk problem;2015-12-09 12:06:05;669;10;1418;True;Ordinaer ihht. obsavtale;3021d2ab-54b7-4aa9-ae30-278e02f0ee02;29049;2015-12-09 17:00:00;20;2015-12-09 23:00:00
Kurstur, ser etter fokksnoe problem.;2015-12-09 12:06:07;670;10;1338;True;Ordinaer ihht. obsavtale;5faebee5-db5e-420b-d2b7-f0d4e50f3d0f;29050;2015-12-09 17:00:00;20;2015-12-09 18:23:36
