Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
01.04.18;0;2;Ski;M;1010 topp (Gavtavarri);Kåfjord;Troms;155476;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
01.04.18;0;1;Ski;M;Sjufjellet;Balsfjord;Troms;155385;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;4;Ski;M;Rørnestinden;Lyngen;Troms;155425;;Gruppe skiløpere utløste skred. Ingen tatt? Ingen skadet.
01.04.18;0;1;Ski;M;Skihytta, Lyngseidet;Lyngen;Troms;155373;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;2;Ski;M;Kjempehaugen;Balsfjord;Troms;155335;;Skiløpere utløste skred. Mulig en ble tatt. Ingen skadet.
31.03.18;0;10;Ski;M;Valldalen;Norddal;M&R;155336;;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;1;Ski;M;Lilledalen;Kåfjord;Troms;155287;;Skred fjernutløst mest sannsynlig av skiløper. Ingen tatt. Ingen skadet.
31.03.18;0;3;Ski;M;Valldalen;Norddal;M&R;155267;;Skiløpere utløste flakskred. Ingen tatt?. Ingen skadet
31.03.18;0;1;Ski;M;Disken;Hadsel;Nord.;155273;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
31.03.18;0;1;Ski;M;Fagernesfjellet;Narvik;Nord.;155459;;Skiløper utløste skred. Ingen tatt. Ingen skadet.
31.03.18;0;6;Ski;M;Storskredhaugen;Balsfjord;Troms;155206;;Gruppe på ski utløste skred. 4 tatt og delvis begravet. En lettere skadet pga. sammenstøt med trær.
31.03.18;0;2;Ski;M;Østerdalen;Bardu;Troms;155243;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;6;Ski;M;Pilan;Vågan;Nord.;155188;;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;2;Ski;M;Keipen;Berg;Troms;155218;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;1;Snøskuter;M;Blåuran;Gratangen;Troms;155276;;Skred fjernutløst av snøskuter. Ingen tatt. Ingen skadet
30.03.18;0;6;Ski;M;Kvalvikdalen;Lyngen;Troms;155434;;Skred utløst av turfølge. En nesten tatt. Ingen skadet
30.03.18;0;1;Snøskuter;M;Holmvatn;Tana;Finn.;155244;;Snøscooterfører løste ut og ble tatt av skred. Fløyet til sykehus md lettere skader
29.03.18;0;1;Ski;M;Blåbærfjellet;Balsfjord;Troms;154493;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
