avalanche_size;trigger;probability;distribution;x;y;label_size;label_trigger;label_probalility;label_distribution;colour
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1300;400;4;HT;unlikely;many steep slopes;gray
4 - Store;Naturlig utloest;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1400;400;4;NT;unlikely;many steep slopes;gray
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1500;400;4;HT;possible;many steep slopes;white
4 - Store;Naturlig utloest;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1600;400;4;NT;possible;many steep slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1700;400;4;HT;expected;many steep slopes;white
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1800;400;4;NT;expected;many steep slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Isolerte faresoner;100;500;5;HT;unlikely;isolated slopes;white
5 - Svaert store;Naturlig utloest;Lite sannsynlig;Isolerte faresoner;200;500;5;NT;unlikely;isolated slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Isolerte faresoner;300;500;5;HT;possible;isolated slopes;white
5 - Svaert store;Naturlig utloest;Mulig;Isolerte faresoner;400;500;5;NT;possible;isolated slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;500;5;HT;expected;isolated slopes;gray
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;500;5;NT;expected;isolated slopes;gray
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Noen bratte heng;700;500;5;HT;unlikely;some steep slopes;white
5 - Svaert store;Naturlig utloest;Lite sannsynlig;Noen bratte heng;800;500;5;NT;unlikely;some steep slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Noen bratte heng;900;500;5;HT;possible;some steep slopes;white
5 - Svaert store;Naturlig utloest;Mulig;Noen bratte heng;1000;500;5;NT;possible;some steep slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;500;5;HT;expected;some steep slopes;white
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;500;5;NT;expected;some steep slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1300;500;5;HT;unlikely;many steep slopes;gray
5 - Svaert store;Naturlig utloest;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1400;500;5;NT;unlikely;many steep slopes;gray
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1500;500;5;HT;possible;many steep slopes;white
5 - Svaert store;Naturlig utloest;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1600;500;5;NT;possible;many steep slopes;white
5 - Svaert store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1700;500;5;HT;expected;many steep slopes;white
5 - Svaert store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1800;500;5;NT;expected;many steep slopes;white
